,0
799,8
800,6
801,16
802,1
803,31
804,6
805,6
806,27
807,16
808,19
809,3
810,31
811,6
812,16
813,16
814,16
815,32
816,15
817,13
818,16
819,32
820,13
821,0
822,6
823,8
824,16
825,36
826,13
827,35
828,8
829,6
830,0
831,31
832,1
833,15
834,13
835,8
836,23
837,35
838,16
839,1
840,26
841,31
842,35
843,10
844,13
845,35
846,16
847,0
848,27
849,13
850,26
851,27
852,16
853,19
854,32
855,6
856,16
857,1
858,13
859,13
860,26
861,20
862,13
863,29
864,36
865,26
866,15
867,6
868,18
869,6
870,1
871,26
872,8
873,35
874,10
875,13
876,20
877,36
878,36
879,26
880,1
881,31
882,35
883,23
884,35
885,31
886,1
887,16
888,35
889,13
890,35
891,13
892,13
893,35
894,35
895,16
896,16
897,6
898,35
899,0
900,6
901,6
902,35
903,1
904,35
905,6
906,31
907,6
908,6
909,6
910,26
911,36
912,1
913,15
914,26
915,36
916,31
917,13
918,16
919,15
920,8
921,26
922,35
923,35
924,16
925,10
926,0
927,1
928,13
929,26
930,13
931,16
932,35
933,31
934,31
935,10
936,36
937,10
938,0
939,6
940,8
941,27
942,27
943,10
944,8
945,27
946,27
947,15
948,6
949,13
950,6
951,13
952,35
953,34
954,16
955,8
956,27
957,19
958,2
959,27
960,31
961,16
962,13
963,32
964,35
965,36
966,0
967,11
968,1
969,32
970,31
971,31
972,36
973,27
974,13
975,13
976,26
977,6
978,27
979,13
980,13
981,13
982,29
983,36
984,27
985,23
986,13
987,35
988,35
989,0
990,36
991,10
992,16
993,27
994,27
995,3
996,19
997,16
998,31
999,0
1000,6
1001,35
1002,16
1003,6
1004,11
1005,25
1006,23
1007,8
1008,0
1009,26
1010,16
1011,36
1012,6
1013,31
1014,1
1015,0
1016,6
1017,6
1018,36
1019,19
1020,31
1021,16
1022,23
1023,10
1024,1
1025,23
1026,36
1027,1
1028,27
1029,0
1030,27
1031,1
1032,1
1033,36
1034,31
1035,6
1036,6
1037,6
1038,0
1039,6
1040,27
1041,11
1042,23
1043,19
1044,36
1045,8
1046,0
1047,24
1048,19
1049,16
1050,35
1051,27
1052,35
1053,0
1054,16
1055,8
1056,1
1057,1
1058,36
1059,32
1060,31
1061,1
1062,13
1063,6
1064,16
1065,36
1066,0
1067,10
1068,13
1069,35
1070,36
1071,36
1072,1
1073,3
1074,16
1075,6
1076,27
1077,0
1078,19
1079,16
1080,3
1081,36
1082,31
1083,1
1084,35
1085,1
1086,36
1087,36
1088,31
1089,31
1090,16
1091,31
1092,0
1093,35
1094,16
1095,35
1096,0
1097,1
1098,12
1099,12
1100,11
1101,16
1102,10
1103,3
1104,6
1105,35
1106,12
1107,12
1108,12
1109,12
1110,12
1111,16
1112,13
1113,6
1114,12
1115,3
1116,12
1117,3
1118,7
1119,12
1120,3
1121,13
1122,12
1123,11
1124,12
1125,12
1126,31
1127,0
1128,15
1129,12
1130,27
1131,12
1132,12
1133,35
1134,28
1135,3
1136,6
1137,1
1138,12
1139,32
1140,12
1141,12
1142,3
1143,3
1144,3
1145,3
1146,12
1147,1
1148,35
1149,3
1150,21
1151,6
1152,1
1153,35
1154,2
1155,35
1156,3
1157,24
1158,12
1159,16
1160,31
1161,12
1162,23
1163,36
1164,36
1165,12
1166,35
1167,12
1168,31
1169,16
1170,8
1171,30
1172,32
1173,16
1174,15
1175,1
1176,15
1177,12
1178,12
1179,35
1180,12
1181,27
1182,12
1183,1
1184,26
1185,12
1186,35
1187,32
1188,32
1189,32
1190,12
1191,1
1192,16
1193,7
1194,13
1195,32
1196,12
1197,12
1198,12
1199,3
1200,4
1201,12
1202,12
1203,14
1204,9
1205,23
1206,23
1207,36
1208,0
1209,0
1210,36
1211,6
1212,3
1213,3
1214,19
1215,35
1216,32
1217,6
1218,1
1219,36
1220,16
1221,21
1222,12
1223,3
1224,12
1225,35
1226,16
1227,0
1228,27
1229,3
1230,35
1231,17
1232,35
1233,36
1234,27
1235,0
1236,19
1237,6
1238,33
1239,32
1240,3
1241,27
1242,6
1243,12
1244,23
1245,1
1246,12
1247,12
1248,3
1249,29
1250,12
1251,35
1252,13
1253,3
1254,15
1255,3
1256,12
1257,12
1258,12
1259,12
1260,3
1261,3
1262,13
1263,3
1264,26
1265,12
1266,2
1267,11
1268,1
