,0
799,0
800,19
801,33
802,1
803,27
804,26
805,5
806,32
807,11
808,3
809,3
810,18
811,11
812,11
813,11
814,28
815,0
816,34
817,32
818,29
819,0
820,17
821,14
822,28
823,0
824,17
825,22
826,4
827,13
828,12
829,8
830,34
831,27
832,32
833,12
834,13
835,0
836,20
837,3
838,28
839,3
840,16
841,18
842,1
843,20
844,33
845,18
846,10
847,12
848,23
849,25
850,21
851,27
852,17
853,31
854,4
855,28
856,8
857,24
858,14
859,23
860,21
861,10
862,26
863,3
864,3
865,28
866,3
867,10
868,18
869,28
870,1
871,21
872,28
873,24
874,18
875,17
876,3
877,12
878,22
879,16
880,28
881,18
882,24
883,14
884,22
885,13
886,30
887,17
888,30
889,5
890,26
891,14
892,17
893,1
894,24
895,17
896,33
897,14
898,27
899,29
900,5
901,17
902,24
903,27
904,27
905,23
906,30
907,14
908,14
909,14
910,21
911,3
912,25
913,3
914,31
915,22
916,18
917,32
918,19
919,29
920,0
921,21
922,31
923,26
924,17
925,10
926,5
927,2
928,3
929,16
930,17
931,33
932,27
933,18
934,1
935,29
936,22
937,34
938,29
939,14
940,0
941,8
942,13
943,2
944,0
945,23
946,22
947,12
948,17
949,32
950,17
951,14
952,26
953,3
954,17
955,0
956,23
957,3
958,3
959,27
960,18
961,28
962,14
963,20
964,26
965,22
966,34
967,0
968,30
969,25
970,22
971,26
972,25
973,27
974,14
975,33
976,31
977,23
978,30
979,33
980,33
981,11
982,24
983,22
984,13
985,3
986,22
987,3
988,1
989,34
990,22
991,10
992,4
993,18
994,20
995,3
996,3
997,25
998,22
999,29
1000,34
1001,27
1002,23
1003,5
1004,3
1005,3
1006,3
1007,0
1008,29
1009,21
1010,34
1011,13
1012,11
1013,18
1014,17
1015,29
1016,2
1017,17
1018,13
1019,31
1020,2
1021,17
1022,3
1023,32
1024,3
1025,3
1026,22
1027,31
1028,3
1029,34
1030,3
1031,24
1032,25
1033,17
1034,25
1035,11
1036,14
1037,20
1038,34
1039,7
1040,1
1041,13
1042,17
1043,31
1044,26
1045,0
1046,34
1047,3
1048,31
1049,10
1050,31
1051,30
1052,10
1053,10
1054,22
1055,0
1056,25
1057,27
1058,22
1059,31
1060,13
1061,28
1062,7
1063,8
1064,7
1065,22
1066,4
1067,2
1068,20
1069,13
1070,22
1071,22
1072,31
1073,3
1074,14
1075,19
1076,32
1077,30
