,0
799,10
800,16
801,25
802,15
803,20
804,31
805,27
806,15
807,18
808,26
809,26
810,29
811,1
812,1
813,13
814,12
815,10
816,27
817,24
818,25
819,10
820,13
821,0
822,12
823,10
824,13
825,2
826,20
827,15
828,11
829,14
830,27
831,20
832,15
833,11
834,15
835,10
836,21
837,30
838,12
839,7
840,28
841,29
842,12
843,21
844,25
845,29
846,13
847,11
848,17
849,25
850,28
851,20
852,13
853,6
854,20
855,12
856,14
857,30
858,0
859,17
860,28
861,26
862,25
863,26
864,0
865,12
866,26
867,14
868,29
869,12
870,23
871,28
872,12
873,30
874,29
875,0
876,26
877,11
878,9
879,28
880,12
881,31
882,30
883,26
884,9
885,15
886,30
887,13
888,23
889,4
890,31
891,0
892,13
893,15
894,30
895,13
896,25
897,18
898,20
899,22
900,7
901,13
902,30
903,7
904,30
905,4
906,7
907,0
908,0
909,18
910,28
911,26
912,7
913,26
914,6
915,2
916,29
917,24
918,16
919,22
920,10
921,28
922,6
923,31
924,13
925,4
926,20
927,8
928,26
929,28
930,13
931,25
932,30
933,29
934,15
935,2
936,2
937,27
938,22
939,0
940,10
941,14
942,15
943,8
944,10
945,17
946,9
947,11
948,7
949,24
950,13
951,18
952,31
953,26
954,13
955,10
956,17
957,26
958,26
959,20
960,29
961,18
962,13
963,21
964,31
965,2
966,27
967,10
968,23
969,7
970,9
971,31
972,2
973,20
974,0
975,18
976,6
977,17
978,23
979,25
980,25
981,24
982,30
983,2
984,15
985,26
986,9
987,21
988,4
989,27
990,2
991,7
992,20
993,29
994,26
995,26
996,26
997,16
998,31
999,22
1000,27
1001,20
1002,4
1003,20
1004,26
1005,26
1006,26
1007,10
1008,22
1009,28
1010,18
1011,15
1012,13
1013,29
1014,13
1015,22
1016,25
1017,13
1018,15
1019,6
1020,8
1021,13
1022,26
1023,2
1024,18
1025,26
1026,2
1027,6
1028,29
1029,27
1030,26
1031,30
1032,7
1033,13
1034,7
1035,1
1036,18
1037,21
1038,27
1039,8
1040,15
1041,15
1042,26
1043,6
1044,31
1045,10
1046,27
1047,26
1048,6
1049,14
1050,6
1051,29
1052,13
1053,4
1054,2
1055,10
1056,7
1057,20
1058,2
1059,6
1060,0
1061,12
1062,8
1063,14
1064,8
1065,2
1066,20
1067,18
1068,0
1069,15
1070,2
1071,6
1072,6
1073,26
1074,0
1075,16
1076,18
1077,23
1078,7
1079,25
1080,26
1081,2
1082,20
1083,18
1084,9
1085,9
1086,4
1087,2
1088,15
1089,30
1090,7
1091,2
1092,22
1093,6
1094,7
1095,20
1096,27
1097,9
1098,5
1099,5
1100,15
1101,13
1102,9
1103,26
1104,20
1105,15
1106,21
1107,21
1108,5
1109,5
1110,5
1111,20
1112,25
1113,14
1114,5
1115,26
1116,5
1117,26
1118,26
1119,5
1120,26
1121,25
1122,5
1123,12
1124,5
1125,5
1126,23
1127,5
1128,5
1129,5
1130,15
1131,5
1132,5
1133,15
1134,9
1135,26
1136,0
1137,8
1138,5
1139,15
1140,31
1141,5
1142,26
1143,26
1144,26
1145,26
1146,5
1147,8
1148,31
1149,26
1150,8
1151,12
1152,9
1153,6
1154,9
1155,6
1156,26
1157,26
1158,5
1159,25
1160,6
1161,6
1162,26
1163,6
1164,9
1165,5
1166,20
1167,5
1168,29
1169,18
1170,10
1171,26
1172,10
1173,16
1174,27
1175,7
1176,26
1177,31
1178,5
1179,7
1180,5
1181,23
1182,20
1183,30
1184,28
1185,5
1186,6
1187,11
1188,10
1189,10
1190,5
1191,6
1192,19
1193,26
1194,4
1195,26
1196,29
1197,5
1198,9
1199,26
1200,26
1201,22
1202,5
1203,28
1204,26
1205,14
1206,25
1207,2
1208,18
1209,18
1210,15
1211,14
1212,26
1213,26
1214,26
1215,15
1216,10
1217,25
1218,8
1219,29
1220,16
1221,8
1222,5
1223,26
1224,5
1225,15
1226,8
1227,4
1228,7
1229,26
1230,31
1231,5
1232,30
1233,2
1234,7
1235,12
1236,6
1237,14
1238,26
1239,10
1240,26
1241,23
1242,17
