,0,1,pdf_names,year,language,authors,title
32,-0.44649783,-10.3446455,pdf_32.txt,2018,fr,"Iwo Doboszewski, Simon Fossier, Christophe Marsala",Extraction de connaissances sur les défaillances de compteurs d'essieux
33,41.903275,-5.6670237,pdf_33.txt,2018,fr,"Jerry Lonlac, Benjamin Négrevergne, Yannick Miras, Aude Beauger, Engelbert Mephu Nguifo",Fouille de Motifs Graduels Fermés Fréquents Sous Contrainte de la Temporalité
34,45.286854,-3.599475,pdf_34.txt,2018,fr,"Katerina Tsesmeli, Manel Boumghar, Thomas Guyet, Rene Quiniou, Laurent Pierre",Fouille de motifs temporels négatifs
35,-14.754295,21.790707,pdf_35.txt,2018,fr,"Hamdi Ben Hamadou,  Faiza Ghozzi, André Péninou, Olivier Teste",Interrogation de données structurellement hétérogènes dans les bases de données orientées documents
36,-3.8329537,-25.703733,pdf_36.txt,2018,fr,"Sarra Bouzayane, Inès Saad",KTI-MOOC: un système de recommandation pour la personnalisation du processus d'échange d'informations dans les MOOCs
37,-0.4710104,4.945946,pdf_37.txt,2018,fr,"Marie Al Ghossein, Talel Abdessalem, Anthony Barré",L'exploitation de données contextuelles pour la recommandation d'hôtels
38,-24.473108,5.4061303,pdf_38.txt,2018,fr,"Claire Nédellec, Estelle Chaix, Robert Bossy, Louise Deléger, Sandra Dérozier, Jean-Baptiste Bohuon, Valentin Loux",L'ontologie OntoBiotope pour l'étude de la biodiversité microbienne
39,-28.692413,-33.73533,pdf_39.txt,2018,fr,Ernesto Estrada,Long-range influences in (social) networks
40,8.826065,0.5821934,pdf_40.txt,2018,fr,"Haolin Ren, Marie-Luce Viaud, Guy Melançon",Mainmise sur les médias et suivi de communautés dans les graphes dynamiques
41,-28.261398,-27.427528,pdf_41.txt,2018,fr,"Gaël Beck, Hanane Azzag, Mustapha Lebbah, Tarn Duong",Mean-shift : Clustering scalable et distribué
42,5.395145,7.811298,pdf_42.txt,2018,fr,"Rostand Affogbolo, Claire Gauzente, Alain Guénoche, Pascale Kuntz",Méta-analyse ordinale d'enquêtes d'opinion Application aux usages de l'Internet des objets en entreprise
43,-1.9679068,6.3756933,pdf_43.txt,2018,fr,"Sarra Bouzayane, Inès Saad",Méthode basée sur les ensembles approximatifs pour l'apprentissage incrémental en présence des données déséquilibrées
44,-14.366552,-20.087658,pdf_44.txt,2018,fr,"Thi-Bich-Ngoc Hoang, Josiane Mothe",Méthode d'Apprentissage pour Extraire les Localisations dans les MicroBlogs
45,-11.555113,4.7966275,pdf_45.txt,2018,fr,"Iuri D. Nogueira, Maram Romdhane, Jérôme Darmont",Modélisation des métadonnées d'un data lake en data vault
