,word,freq
0,ontologies,36
1,ontologie,28
2,alignement,17
3,expression,15
4,définitions,12
5,projection,11
6,annotations,11
7,sélection,10
8,opérations,9
9,définition,8
10,propriétés,8
11,vocabulaire,7
12,expressions,7
13,propriété,7
14,sémantique,5
15,étiquetés,5
16,atomiques,5
17,structure,5
18,description,4
19,contrairement,4
20,plusieurs,4
21,articulation,4
22,sélectionner,4
23,opération,4
24,également,3
25,nouvelles,3
26,différents,3
27,proposons,3
28,représentation,3
29,appartenant,3
