,word,freq
0,motif,47
1,graduel,44
2,niveau,40
3,itemset,36
4,algorithm,33
5,parallel,30
6,attribut,30
7,nombr,28
8,calcul,27
9,lign,25
10,fréquent,22
11,trait,21
12,temp,20
13,mémoir,20
14,thread,20
15,mining,20
16,extract,19
17,support,17
18,efficac,16
19,accéler,16
20,jorio,15
21,laurent,14
22,approch,14
23,exécu,14
24,utilis,13
25,présent,13
26,cœur,13
27,associ,13
28,complex,12
29,notr,12
