,word,freq
0,regroupement,8
1,algorithmes,7
2,logiciel,6
3,permettant,5
4,exceptions,5
5,distributions,5
6,probabilités,5
7,différents,5
8,raisonnement,4
9,pouvant,4
10,système,4
11,grandes,4
12,marches,4
13,observations,4
14,regroupements,4
15,apprendre,3
16,différentes,3
17,intelligence,3
18,ensemble,3
19,comment,3
20,obtenir,3
21,peuvent,3
22,attributs,3
23,monotone,2
24,obtenues,2
25,cependant,2
26,extraites,2
27,initiale,2
28,benferhat,2
29,apprentissage,2
