,word,freq
0,méthodes,27
1,classification,24
2,réduction,24
3,corpus,17
4,sélection,16
5,prototypes,15
6,méthode,15
7,temps,15
8,résultats,14
9,instances,13
10,termes,12
11,algorithme,11
12,textes,9
13,proches,9
14,voisins,9
15,performance,9
16,nearest,8
17,étude,7
18,apprentissage,7
19,algorithmes,7
20,condensation,7
21,exactitude,7
22,neighbor,7
23,transactions,7
24,document,6
25,améliorer,6
26,différentes,6
27,obtenus,6
28,instance,6
29,elles,6
