,word,freq
0,termes,36
1,regroupements,27
2,construction,19
3,motifs,19
4,textes,16
5,relations,16
6,domaine,15
7,diriger,15
8,terminologique,14
9,ontologie,14
10,fouille,13
11,ressource,13
12,concepts,13
13,partir,12
14,verbaux,12
15,corpus,11
16,règles,11
17,techniques,10
18,accidentologie,10
19,connaissances,10
20,comme,10
21,algorithme,10
22,ensemble,10
23,syntagmes,10
24,véhicule,10
25,entre,9
26,terme,9
27,association,9
28,résultats,8
29,nominaux,8
