,word,freq
0,items,31
1,recommandation,31
2,données,28
3,sémantique,21
4,utilisateurs,20
5,attributs,19
6,utilisateur,18
7,cette,17
8,intérêt,13
9,systèmes,12
10,système,12
11,approche,12
12,module,11
13,filtre,11
14,avons,11
15,technique,10
16,filtrage,10
17,notre,9
18,domaine,9
19,notes,9
20,équation,9
21,implicite,8
22,recommandations,8
23,relations,8
24,bloom,8
25,entre,7
26,permet,7
27,nombre,7
28,notés,7
29,collaboratif,6
